Tamil,English
It's a piece of cake.,அது ஒரு துண்டு கேக்.
Do you play a musical instrument?,நீங்கள் இசைக்கருவியை வாசிக்கிறீர்களா?
Some learned to play musical instruments.,சிலர் இசைக்கருவிகளை வாசிக்கக் கற்றுக்கொண்டனர்.
"The optimist looks into a mirror and becomes more optimistic, the pessimist more pessimistic.","நம்பிக்கையாளர் கண்ணாடியைப் பார்த்து மேலும் நம்பிக்கையுடையவராக மாறுகிறார், அவநம்பிக்கையாளர் அதிக அவநம்பிக்கை கொண்டவராக மாறுகிறார்."
After a storm comes a calm.,புயலுக்குப் பிறகு அமைதி வரும்.
"Easy come, easy go.","எளிதாக வரலாம், எளிதாக செல்லலாம்."
It was easy for me to solve the problem.,சிக்கலைத் தீர்ப்பது எனக்கு எளிதாக இருந்தது.
Have fun.,மகிழுங்கள்.
Have a nice time.,ஒரு நல்ல நேரம்.
Have a good time.,நல்ல நேரம்.
Are you enjoying it?,நீங்கள் அதை அனுபவிக்கிறீர்களா?
Time goes by quickly when you're having fun.,நீங்கள் வேடிக்கையாக இருக்கும்போது நேரம் விரைவாக செல்கிறது.
Enjoy yourself!,நீங்களே ரசியுங்கள்!
I'm looking forward to it.,நான் அதை எதிர்பார்த்துக் கொண்டிருக்கிறேன்.
"Have fun, but don't get lost.","வேடிக்கையாக இருங்கள், ஆனால் தொலைந்து போகாதீர்கள்."
"We enjoyed seeing the city, but we got a little tired.","நகரத்தைப் பார்த்து மகிழ்ந்தோம், ஆனால் கொஞ்சம் களைப்படைந்தோம்."
Did you have a good time?,உங்களுக்கு நல்ல நேரம் கிடைத்ததா?
Did you enjoy yourself?,நீங்கள் மகிழ்ந்தீர்களா?
We are having a good time.,நாங்கள் நல்ல நேரத்தைக் கொண்டிருக்கிறோம்.
"Singing merrily, they started for home.",குதூகலமாகப் பாடிவிட்டு வீட்டுக்குப் புறப்பட்டனர்.
Let's have some fun.,கொஞ்சம் வேடிக்கை பார்ப்போம்.
I hope you're having fun.,நீங்கள் வேடிக்கையாக இருப்பீர்கள் என்று நம்புகிறேன்.
Are you having a good time?,உங்களுக்கு நல்ல நேரம் இருக்கிறதா?
Enjoy your trip.,உங்கள் பயணத்தை அனுபவிக்கவும்.
I wish you a pleasant voyage.,நான் உங்களுக்கு ஒரு இனிமையான பயணத்தை விரும்புகிறேன்.
I hope you had a nice trip.,நீங்கள் ஒரு நல்ல பயணம் என்று நம்புகிறேன்.
Thank you for the pleasant evening.,இனிய மாலைப் பொழுதிற்க்கு நன்றி.
"Sweet dreams, Timmy.","இனிமையான கனவுகள், டிம்மி."
Have a nice weekend.,இனிய வார இறுதியில் அமையட்டும்.
Have a nice flight.,ஒரு நல்ல விமானம்.
Did you have a good weekend?,உங்களுக்கு நல்ல வார இறுதி இருந்ததா?
"When you're enjoying yourself, the time seems to fly by.","நீங்கள் மகிழ்ச்சியாக இருக்கும்போது, ​​நேரம் பறந்து செல்கிறது."
A pleasant trip to you!,உங்களுக்கு ஒரு இனிமையான பயணம்!
Have a nice vacation.,இனிய விடுமுறை.
Let's sing a happy song.,இனிய பாடலைப் பாடுவோம்.
My happy schooldays will soon be behind me.,எனது மகிழ்ச்சியான பள்ளி நாட்கள் விரைவில் எனக்கு பின்னால் வரும்.
Let's sing some merry songs.,இனிய பாடல்களைப் பாடுவோம்.
Have a nice summer vacation.,இனிய கோடை விடுமுறை.
Wishing you a Halloween filled with fun.,உங்களுக்கு மகிழ்ச்சி நிறைந்த ஹாலோவீன் வாழ்த்துக்கள்.
It's our pleasure.,இது எங்கள் மகிழ்ச்சி.
"It's been nice talking to you, but I really must go now.","உங்களுடன் பேசுவது நன்றாக இருந்தது, ஆனால் நான் இப்போது செல்ல வேண்டும்."
She can express her feelings when she feels happy or sad.,அவள் மகிழ்ச்சியாகவோ அல்லது சோகமாகவோ உணரும்போது அவளுடைய உணர்வுகளை வெளிப்படுத்த முடியும்.
Pleasure is the source of pain.,இன்பமே துன்பத்திற்கு ஆதாரம்.
"The head of the college, Miss Baker, had a special place in the car park for her small car.",கல்லூரியின் தலைவி மிஸ் பேக்கர் தனது சிறிய காருக்கு கார் பார்க்கிங்கில் தனி இடம் பிடித்திருந்தார்.
Scholarship must always be exact whether it is interesting or not.,உதவித்தொகை ஆர்வமாக இருந்தாலும் இல்லாவிட்டாலும் எப்போதும் துல்லியமாக இருக்க வேண்டும்.
There is no easy road to learning.,கற்றுக்கொள்வதற்கு எளிதான பாதை இல்லை.
"Without hesitating, the dean selects infinite wisdom.","தயக்கமின்றி, டீன் எல்லையற்ற ஞானத்தைத் தேர்ந்தெடுக்கிறார்."
He was at a loss as to which faculty to choose.,எந்த ஆசிரியையை தேர்வு செய்வது என்று தெரியாமல் தவித்தார்.
I'll rely on my father for half of my tuition.,படிப்பில் பாதிக்கு அப்பாவையே நம்பி இருப்பேன்.
The pupils burst out laughing.,மாணவர்கள் வெடித்துச் சிரித்தனர்.
The president addressed his students as follows.,ஜனாதிபதி தனது மாணவர்களிடம் பின்வருமாறு உரையாற்றினார்.
The school uniform is convenient because it can be worn for both informal and formal occasions.,"பள்ளி சீருடை வசதியானது, ஏனெனில் இது முறைசாரா மற்றும் முறையான சந்தர்ப்பங்களுக்கு அணியலாம்."
They hate him because he gives them a mountain of homework.,மலையளவு வீட்டுப்பாடம் கொடுப்பதால் அவர்கள் அவரை வெறுக்கிறார்கள்.
The students volunteered for community service.,மாணவர்கள் சமூக சேவைக்கு முன்வந்தனர்.
The students were animated by the agitator's appeal.,கிளர்ச்சியாளரின் முறையீட்டால் மாணவர்கள் உற்சாகமடைந்தனர்.
"The students sat still, listening to the lecture.",மாணவர்கள் அமைதியாக அமர்ந்து விரிவுரையைக் கேட்டுக் கொண்டிருந்தனர்.
The students demonstrated against the new government.,புதிய அரசுக்கு எதிராக மாணவர்கள் ஆர்ப்பாட்டத்தில் ஈடுபட்டனர்.
The students are busy preparing for the examination.,மாணவர்கள் தேர்வுக்கு தயாராகி வருகின்றனர்.
The students are having a recess now.,மாணவர்களுக்கு தற்போது விடுமுறை விடப்பட்டுள்ளது.
The students gathered at the call of the principal.,முதல்வரின் அழைப்பின் பேரில் மாணவர்கள் திரண்டனர்.
The students noted the professor's main points.,பேராசிரியரின் முக்கிய கருத்துக்களை மாணவர்கள் எடுத்துரைத்தனர்.
Students are open to the influence of their teachers.,மாணவர்கள் தங்கள் ஆசிரியர்களின் செல்வாக்கிற்கு திறந்திருக்கிறார்கள்.
The students are making good progress in English.,மாணவர்கள் ஆங்கிலத்தில் நல்ல முன்னேற்றம் அடைந்து வருகின்றனர்.
The students cheered in honor of Dr. Baker's birthday.,டாக்டர் பேக்கரின் பிறந்தநாளை முன்னிட்டு மாணவர்கள் ஆரவாரம் செய்தனர்.
The students stood waiting for a bus.,மாணவர்கள் பஸ்சுக்காக காத்திருந்தனர்.
I don't think any more students want to come.,இனி மாணவர்கள் யாரும் வர விரும்பவில்லை என்று நினைக்கிறேன்.
Not all the students were present in class.,அனைத்து மாணவர்களும் வகுப்பில் இல்லை.
There was no objection on the part of the students.,மாணவர்கள் தரப்பில் எந்த ஆட்சேபனையும் இல்லை.
This is a store that caters specially to students.,இது மாணவர்களுக்கு பிரத்யேகமாக சேவை செய்யும் கடை.
All the students recognized her as their representative.,அனைத்து மாணவர்களும் அவளை தங்கள் பிரதிநிதியாக அங்கீகரித்தனர்.
All of the students were present.,மாணவர்கள் அனைவரும் கலந்து கொண்டனர்.
All the students will partake in the play.,அனைத்து மாணவர்களும் நாடகத்தில் பங்கேற்பார்கள்.
It is absurd to idle away the student life.,மாணவர் வாழ்க்கையை சும்மா விடுவது அபத்தம்.
In his school days he wasn't as gentle as he is now.,பள்ளி நாட்களில் அவர் இப்போது போல் மென்மையாக இல்லை.
He was far from clever in his school days.,பள்ளி நாட்களில் அவர் புத்திசாலியாக இருந்து வெகு தொலைவில் இருந்தார்.
I was keen on classical music in my school days.,என் பள்ளி நாட்களில் கிளாசிக்கல் இசையில் ஆர்வம் இருந்தது.
I got to know him when I was a student.,நான் மாணவனாக இருக்கும்போதே அவரைப் பற்றி அறிந்தேன்.
It was an advantage having learned Chinese while I was in school.,நான் பள்ளியில் படிக்கும் போது சீன மொழி கற்றது ஒரு நன்மை.
I regret having been idle in my school days.,என் பள்ளி நாட்களில் சும்மா இருந்ததை நினைத்து வருந்துகிறேன்.
I used to go fishing in my school days.,பள்ளி நாட்களில் மீன்பிடிக்க செல்வேன்.
Read as many books as you can while you are a student.,மாணவராக இருக்கும்போதே உங்களால் முடிந்த புத்தகங்களைப் படியுங்கள்.
John would often go mountain climbing when he was a student.,ஜான் மாணவனாக இருந்தபோது அடிக்கடி மலை ஏறச் செல்வார்.
I studied in England for six months when I was a student.,நான் மாணவனாக இருந்தபோது இங்கிலாந்தில் ஆறு மாதங்கள் படித்தேன்.
His stock with the students has soared.,மாணவர்களிடம் அவரது பங்கு உயர்ந்துள்ளது.
Do you have a student fare?,உங்களிடம் மாணவர் கட்டணம் உள்ளதா?
The student hall is for benefit of the students.,மாணவர் கூடம் மாணவர்களின் நலனுக்காக உள்ளது.
There are several restrictions on working to support yourself abroad on a student visa.,மாணவர் விசாவில் வெளிநாட்டில் உங்களை ஆதரிக்க பல கட்டுப்பாடுகள் உள்ளன.
Students should develop their reading skills.,மாணவர்கள் படிக்கும் திறனை வளர்த்துக் கொள்ள வேண்டும்.
Students are supposed to study hard.,மாணவர்கள் கடினமாகப் படிக்க வேண்டும்.
Students should try not to be late.,மாணவர்கள் தாமதிக்காமல் இருக்க முயற்சிக்க வேண்டும்.
Every student has access to the library.,ஒவ்வொரு மாணவருக்கும் நூலகத்திற்கு அணுகல் உள்ளது.
The students are for the most part diligent.,மாணவர்கள் பெரும்பாலும் விடாமுயற்சியுடன் இருக்கிறார்கள்.
A student spends a lot of time studying.,ஒரு மாணவர் படிப்பதில் அதிக நேரம் செலவிடுகிறார்.
Students have a holiday on Foundation Day.,நிறுவன தினத்தன்று மாணவர்களுக்கு விடுமுறை.
Students have access to the library.,மாணவர்கள் நூலகத்தை அணுகலாம்.
Students should make use of the books in the library.,நூலகத்தில் உள்ள புத்தகங்களை மாணவர்கள் பயன்படுத்திக் கொள்ள வேண்டும்.
Students must keep silent during class.,வகுப்பின் போது மாணவர்கள் அமைதியாக இருக்க வேண்டும்.
Students should make the most of their free time.,மாணவர்கள் தங்களின் ஓய்வு நேரத்தை சரியாக பயன்படுத்திக்கொள்ள வேண்டும்.
A student should not lose sight of his own identity.,ஒரு மாணவர் தனது சொந்த அடையாளத்தை இழக்கக்கூடாது.
Students are apt to waste time.,மாணவர்கள் நேரத்தை வீணடிப்பவர்கள்.
Students are longing for the vacation.,மாணவர்கள் விடுமுறைக்காக ஏங்குகின்றனர்.
Students are supposed to turn in reports at the end of the school year.,பள்ளி ஆண்டு முடிவில் மாணவர்கள் அறிக்கைகளை சமர்ப்பிக்க வேண்டும்.
All of the students stood up together.,மாணவர்கள் அனைவரும் ஒன்றாக எழுந்து நின்றனர்.
Each student received his diploma in turn.,ஒவ்வொரு மாணவரும் தனது டிப்ளோமாவைப் பெற்றனர்.
All the students protested against the war.,அனைத்து மாணவர்களும் போருக்கு எதிராக போராட்டம் நடத்தினர்.
The student left without saying anything.,மாணவி எதுவும் பேசாமல் சென்று விட்டார்.
"Students often study with music playing in the background, and people working around the house will usually turn on the television or radio to keep them company.","மாணவர்கள் பெரும்பாலும் பின்னணியில் இசையை வாசித்துக் கொண்டு படிக்கிறார்கள், மேலும் வீட்டைச் சுற்றி வேலை செய்பவர்கள் பொதுவாக தொலைக்காட்சி அல்லது வானொலியை இயக்கி அவர்களைத் தொடர்புகொள்வார்கள்."
Students bustled about all the night.,இரவு முழுவதும் மாணவர்கள் பரபரப்பாக இருந்தனர்.
None of the students were late for school.,மாணவர்கள் யாரும் பள்ளிக்கு தாமதமாக வரவில்லை.
Study the student more.,மாணவனை அதிகம் படிக்கவும்.
The teacher as well as his students has come.,ஆசிரியரும் அவருடைய மாணவர்களும் வந்திருக்கிறார்கள்.
Each student has expressed his opinion.,ஒவ்வொரு மாணவரும் தங்கள் கருத்தை வெளிப்படுத்தினர்.
All the students shouted with joy.,அனைத்து மாணவர்களும் மகிழ்ச்சியில் கூச்சலிட்டனர்.
Every student has free access to the library.,ஒவ்வொரு மாணவருக்கும் நூலகத்திற்கு இலவச அணுகல் உள்ளது.
All the students attended the party.,விழாவில் அனைத்து மாணவர்களும் கலந்து கொண்டனர்.
All the students come from the US.,அனைத்து மாணவர்களும் அமெரிக்காவில் இருந்து வந்தவர்கள்.
The students have an excellent gym at their disposal.,மாணவர்கள் தங்கள் வசம் ஒரு சிறந்த உடற்பயிற்சி கூடம் உள்ளது.
Students often pursue their teacher with questions.,மாணவர்கள் பெரும்பாலும் கேள்விகளுடன் ஆசிரியரைப் பின்தொடர்கிறார்கள்.
Students will take one of these English courses.,மாணவர்கள் இந்த ஆங்கிலப் படிப்புகளில் ஒன்றைப் படிப்பார்கள்.
Students have access to these computers.,இந்த கணினிகளை மாணவர்கள் அணுகலாம்.
Students generally like a teacher who understands their problems.,மாணவர்கள் பொதுவாக தங்கள் பிரச்சனைகளை புரிந்து கொள்ளும் ஆசிரியரை விரும்புகிறார்கள்.
Half of the students are absent.,மாணவர்களில் பாதி பேர் வரவில்லை.
Half the students were absent.,பாதி மாணவர்கள் வரவில்லை.
The students' lunch period is from twelve to one.,மாணவர்களின் மதிய உணவு காலம் பன்னிரண்டு முதல் ஒன்று வரை.
Some of the students come to school by car.,சில மாணவர்கள் காரில் பள்ளிக்கு வருகின்றனர்.
Some of the students like to play the guitar.,சில மாணவர்கள் கிட்டார் வாசிக்க விரும்புகிறார்கள்.
A majority of students dislike history.,பெரும்பாலான மாணவர்கள் வரலாற்றை விரும்புவதில்லை.
Not all the students are against the plan.,அனைத்து மாணவர்களும் திட்டத்திற்கு எதிரானவர்கள் அல்ல.
The number of students is decreasing year by year.,மாணவர் எண்ணிக்கை ஆண்டுக்கு ஆண்டு குறைந்து வருகிறது.
I was used to studying when I was a student.,நான் மாணவனாக இருக்கும்போதே படித்து பழகியிருந்தேன்.
"Being only a student, I can't afford to get married.","நான் ஒரு மாணவன் என்பதால், என்னால் திருமணம் செய்து கொள்ள முடியவில்லை."
I used to play tennis when I was a student.,நான் மாணவனாக இருந்தபோது டென்னிஸ் விளையாடுவேன்.
Some of the students were from Asia and the others were from Europe.,"மாணவர்களில் சிலர் ஆசியாவைச் சேர்ந்தவர்கள், மற்றவர்கள் ஐரோப்பாவைச் சேர்ந்தவர்கள்."
Almost all the students like English.,ஏறக்குறைய அனைத்து மாணவர்களும் ஆங்கிலத்தை விரும்புகிறார்கள்.
One student says the purge is still going on in China and terror is widespread.,"சீனாவில் துாய்மை இன்னும் நடந்து வருவதாகவும், பயங்கரவாதம் பரவலாக இருப்பதாகவும் ஒரு மாணவர் கூறுகிறார்."
I often wrote to her when I was a student.,நான் மாணவனாக இருந்தபோது அவளுக்கு அடிக்கடி எழுதினேன்.
Memories of my college days come to my mind.,என் கல்லூரி நாட்களின் நினைவுகள் என் நினைவுக்கு வருகின்றன.
Two-thirds of the students came to the meeting.,கூட்டத்திற்கு மூன்றில் இரண்டு பங்கு மாணவர்கள் வந்தனர்.
I asked the student what image he had of black people.,நான் அந்த மாணவனிடம் கறுப்பின மக்களைப் பற்றி என்ன உருவம் வைத்திருக்கிறாய் என்று கேட்டேன்.
Admission to students only.,மாணவர்களுக்கு மட்டுமே சேர்க்கை.
Allow a student to be absent.,ஒரு மாணவர் இல்லாததை அனுமதிக்கவும்.
Books are popular with students.,புத்தகங்கள் மாணவர்களிடையே பிரபலமாக உள்ளன.
Have students read such books as will make them think more.,மாணவர்களை அதிகம் சிந்திக்க வைக்கும் இதுபோன்ற புத்தகங்களை படிக்க வேண்டும்.
Do you take in students?,நீங்கள் மாணவர்களை அழைத்துச் செல்கிறீர்களா?
You had better leave the students to find out for themselves.,மாணவர்களைத் தாங்களே தெரிந்துகொள்ள விட்டுவிடுவது நல்லது.
"If you are a student, behave as such.","நீங்கள் ஒரு மாணவராக இருந்தால், அப்படி நடந்து கொள்ளுங்கள்."
Students are expected to stay away from dubious places.,மாணவர்கள் சந்தேகத்திற்குரிய இடங்களிலிருந்து விலகி இருக்க வேண்டும்.
The students chose her chairman.,மாணவர்கள் அவரது தலைவரைத் தேர்ந்தெடுத்தனர்.
His students adored him.,அவரது மாணவர்கள் அவரை வணங்கினர்.
Students discussed the problem of brain death for a long time.,மூளை மரணம் குறித்து மாணவர்கள் நீண்ட நேரம் விவாதித்தனர்.
The students learned many poems by heart.,மாணவர்கள் பல கவிதைகளை மனதார கற்றுக்கொண்டனர்.
The students noted down every word the teacher said.,ஆசிரியர் சொன்ன ஒவ்வொரு வார்த்தையையும் மாணவர்கள் குறித்துக் கொண்டனர்.
The students grimaced at the teacher.,மாணவர்கள் ஆசிரியரைப் பார்த்து முகம் சுளித்தனர்.
Students have been protesting against the government's decision.,அரசின் இந்த முடிவுக்கு எதிர்ப்பு தெரிவித்து மாணவர்கள் போராட்டம் நடத்தி வருகின்றனர்.
The students sat still all the time.,மாணவர்கள் எப்போதும் அமைதியாக அமர்ந்திருந்தனர்.
Students came of their own accord to help the villagers.,மாணவர்கள் தாங்களாகவே வந்து கிராம மக்களுக்கு உதவினார்கள்.
The students were ill at ease before the exam.,தேர்வுக்கு முன் மாணவர்கள் நிம்மதியாக இருந்தனர்.
The students wanted us to help push the car.,காரை தள்ளுவதற்கு நாங்கள் உதவ வேண்டும் என்று மாணவர்கள் விரும்பினர்.
The students revolted against authority.,அதிகாரத்திற்கு எதிராக மாணவர்கள் கிளர்ந்தெழுந்தனர்.
The students assisted the professor in the investigation.,விசாரணையில் பேராசிரியருக்கு மாணவர்கள் உதவினர்.
The students assembled in the classroom.,மாணவர்கள் வகுப்பறையில் கூடினர்.
The students turned in their term papers.,மாணவர்கள் தங்களின் பருவத் தாள்களைத் திருப்பினார்கள்.
Each of the students has to attend the meeting.,கூட்டத்தில் மாணவர்கள் ஒவ்வொருவரும் கலந்து கொள்ள வேண்டும்.
Students are impatient for the summer holidays to come.,கோடை விடுமுறை வருவதால் மாணவர்கள் பொறுமையிழந்துள்ளனர்.
The students discussed the plan for many hours.,திட்டம் குறித்து மாணவர்கள் பல மணி நேரம் விவாதித்தனர்.
Each of the students has his own shoes.,மாணவர்கள் ஒவ்வொருவருக்கும் அவரவர் காலணி உள்ளது.
Each of the students has his own locker.,மாணவர்கள் ஒவ்வொருவருக்கும் அவரவர் லாக்கர் உள்ளது.
The students were all looking forward to the summer vacation.,மாணவர்கள் அனைவரும் கோடை விடுமுறையை எதிர்பார்த்து காத்திருந்தனர்.
"Some of the students went by bus, and others on foot.","மாணவர்களில் சிலர் பேருந்திலும், சிலர் நடந்தும் சென்றனர்."
The students met here to hear the speech.,உரையைக் கேட்க மாணவர்கள் இங்கு கூடினர்.
Students often find it very difficult to understand a lecture in a foreign language.,வெளிநாட்டு மொழியில் ஒரு விரிவுரையைப் புரிந்துகொள்வது மாணவர்களுக்கு மிகவும் கடினமாக உள்ளது.
The students have taken no notice of these instructions.,இந்த அறிவுறுத்தல்களை மாணவர்கள் கண்டுகொள்ளவில்லை.
The students learned this poem by heart.,மாணவர்கள் இந்த கவிதையை மனதார கற்றுக்கொண்டனர்.
The students performed Hamlet.,மாணவர்கள் ஹேம்லெட் நிகழ்ச்சி நடத்தினர்.
The students were required to learn the Constitution by heart.,மாணவர்கள் அரசியலமைப்பை மனதளவில் கற்க வேண்டும்.
Students took the lead in the campaign against pollution.,மாசுபாட்டிற்கு எதிரான பிரச்சாரத்தில் மாணவர்கள் முன்னிலை வகித்தனர்.
There were hardly any teachers at the school that students could talk to.,பள்ளியில் மாணவர்களுடன் பேசக்கூடிய ஆசிரியர்கள் இல்லை.
The student center is a good place to strike up conversations.,மாணவர் மையம் உரையாடலைத் தொடங்க ஒரு நல்ல இடம்.
I'll bet he'd have a fit if his students fell asleep.,அவருடைய மாணவர்கள் தூங்கிவிட்டால் அவருக்குப் பொருத்தம் இருக்கும் என்று நான் பந்தயம் கட்டுவேன்.
It is taken for granted that students know how to express themselves.,மாணவர்கள் தங்களை எப்படி வெளிப்படுத்துவது என்பதை அறிவது சாதாரணமாக எடுத்துக் கொள்ளப்படுகிறது.
A student visited the house of the great playwright.,பெரிய நாடக ஆசிரியரின் வீட்டிற்கு ஒரு மாணவன் சென்றான்.
A student wants to see you.,ஒரு மாணவர் உங்களைப் பார்க்க விரும்புகிறார்.
Three students. Here's my student ID.,மூன்று மாணவர்கள். இதோ என் மாணவர் ஐடி.
I am tired of eating at the school cafeteria.,பள்ளி சிற்றுண்டிச்சாலையில் சாப்பிட்டு சோர்வாக இருக்கிறேன்.
You should avail yourself of every opportunity to learn.,கற்றுக் கொள்வதற்கான ஒவ்வொரு வாய்ப்பையும் நீங்கள் பயன்படுத்திக் கொள்ள வேண்டும்.
He is something of a scholar.,அவர் ஏதோ ஒரு அறிஞர்.
There is no easy process of learning.,எளிதான கற்றல் செயல்முறை இல்லை.
Some scholars ascribe the settlement of America to social unrest in Western Europe.,சில அறிஞர்கள் மேற்கு ஐரோப்பாவில் சமூக அமைதியின்மைக்கு அமெரிக்காவின் குடியேற்றத்தை காரணம் கூறுகின்றனர்.
"According to some scholars, a major earthquake could occur at any moment now.","சில அறிஞர்களின் கூற்றுப்படி, இப்போது எந்த நேரத்திலும் ஒரு பெரிய பூகம்பம் ஏற்படலாம்."
"Scholarly as he is, he can't be relied on.","அவர் அறிவார்ந்த நிலையில், அவரை நம்ப முடியாது."
A man of learning is not always a man of sense.,கற்றறிந்த மனிதன் எப்போதும் உணர்வுள்ளவனாக இருப்பதில்லை.
He is proud of his scholarship.,அவர் தனது புலமையைப் பற்றி பெருமைப்படுகிறார்.
"In terms of learning, he is superior to all of his friends.","கற்றலில், அவர் தனது நண்பர்கள் அனைவரையும் விட உயர்ந்தவர்."
"Learning is one thing, and common sense another.","கற்றல் ஒன்று, பொது அறிவு வேறு."
"He was very learned, but he didn't know it.","அவர் மிகவும் கற்றவர், ஆனால் அவருக்கு அது தெரியாது."
It should be clear that the curriculum reform is mandatory in order to enhance interdisciplinary research.,இடைநிலை ஆராய்ச்சியை மேம்படுத்த பாடத்திட்ட சீர்திருத்தம் கட்டாயம் என்பது தெளிவாக இருக்க வேண்டும்.
Our school administration decided to do away with that school rule.,அந்த பள்ளி விதியை நீக்க எங்கள் பள்ளி நிர்வாகம் முடிவு செய்தது.
My time in school will be one of my happiest memories.,எனது பள்ளியில் படித்த நேரம் எனது மகிழ்ச்சியான நினைவுகளில் ஒன்றாக இருக்கும்.
School systems have to cope with changing numbers of pupils.,மாறிவரும் மாணவர்களின் எண்ணிக்கையை பள்ளி அமைப்புகள் சமாளிக்க வேண்டும்.
I usually went to bed at ten in my school days.,நான் பள்ளி நாட்களில் பத்து மணிக்குப் படுக்கைக்குச் செல்வது வழக்கம்.
He was very happy during his school days.,பள்ளி நாட்களில் மிகவும் மகிழ்ச்சியாக இருந்தார்.
I would often take part in an English speech contest in my school days.,பள்ளி நாட்களில் ஆங்கில பேச்சு போட்டியில் அடிக்கடி கலந்து கொள்வேன்.
He ended up expelled.,அவர் வெளியேற்றப்பட்டார்.
"On leaving school, he went to Africa.","பள்ளி முடிந்ததும், அவர் ஆப்பிரிக்கா சென்றார்."
I graduated from the school.,நான் பள்ளியில் பட்டம் பெற்றேன்.
"On leaving school, he went into business.","பள்ளியை விட்டு வெளியேறியதும், அவர் வணிகத்திற்குச் சென்றார்."
"On leaving school, she got married to her classmate.","பள்ளி முடிந்ததும், அவள் தன் வகுப்பு தோழியை திருமணம் செய்து கொண்டாள்."
What are you going to do after you leave school?,பள்ளியை விட்டு வெளியேறிய பிறகு நீங்கள் என்ன செய்யப் போகிறீர்கள்?
I will have to wait till I finish schooling and start earning money.,பள்ளிப்படிப்பை முடித்து பணம் சம்பாதிக்கும் வரை காத்திருக்க வேண்டும்.
What a fool he is to leave school.,பள்ளியை விட்டு வெளியேறிய அவர் என்ன முட்டாள்.
The cost of operating schools continued to rise.,பள்ளிகளை இயக்குவதற்கான செலவு தொடர்ந்து அதிகரித்தது.
"Outside the school, she saw people with no homes living in cardboard boxes.","பள்ளிக்கு வெளியே, வீடு இல்லாத மக்கள் அட்டைப் பெட்டிகளில் வாழ்வதைப் பார்த்தாள்."
"As soon as he graduated, he went to work in his father's general store.",பட்டம் பெற்றவுடன் தந்தையின் பொதுக் கடையில் வேலைக்குச் சென்று விட்டார்.
Let's skip school and go see the movie.,பள்ளியை விட்டுவிட்டு படம் பார்க்கச் செல்வோம்.
Cutting school is the first stage of delinquency.,பள்ளிக்கூடத்தை வெட்டுவது குற்றத்தின் முதல் கட்டம்.
I like summer holidays better than school.,பள்ளியை விட கோடை விடுமுறை எனக்கு மிகவும் பிடிக்கும்.
Will you walk down to the school with me?,என்னுடன் பள்ளிக்கூடத்திற்குச் செல்வீர்களா?
The school is only a five-minute walk.,பள்ளிக்கு ஐந்து நிமிட நடைதான்.
I can walk to school in half an hour.,அரை மணி நேரத்தில் பள்ளிக்கு நடந்து செல்ல முடியும்.
"I ran to school, but the bell had already rung.","நான் பள்ளிக்கு ஓடினேன், ஆனால் ஏற்கனவே மணி அடித்தது."
"A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.","பள்ளிக்குச் செல்லாத ஒருவர் சரக்குக் காரில் திருடலாம், ஆனால் அவர் பல்கலைக்கழகக் கல்வி பெற்றிருந்தால், அவர் முழு இரயில் பாதையையும் திருடலாம்."
The street to school was flooded so we had to go around.,பள்ளிக்கு செல்லும் தெருவில் வெள்ளம் சூழ்ந்ததால் சுற்றி செல்ல வேண்டிய நிலை ஏற்பட்டது.
Remember to post the letter on your way to school.,பள்ளிக்குச் செல்லும் வழியில் கடிதத்தை இடுகையிட மறக்காதீர்கள்.
Don't forget to mail this letter on your way to school.,பள்ளிக்கு செல்லும் வழியில் இந்த கடிதத்தை மறக்காமல் அனுப்பவும்.
I met her on my way to school.,பள்ளிக்கு செல்லும் வழியில் அவளை சந்தித்தேன்.
"While crossing the street on my way to school, I encountered an accident.","பள்ளிக்குச் செல்லும் வழியில் தெருவைக் கடக்கும்போது, ​​விபத்துக்குள்ளானேன்."
I met Tom on my way to school.,பள்ளிக்குச் செல்லும் வழியில் டாமைச் சந்தித்தேன்.
Wash your face before you go to school.,பள்ளிக்குச் செல்வதற்கு முன் முகத்தைக் கழுவுங்கள்.
He was going to school.,பள்ளிக்கு சென்று கொண்டிருந்தார்.
Go to school.,பள்ளிக்குச் செல்லுங்கள்.
"Can you walk to school, or do you have to take the bus?","நீங்கள் பள்ளிக்கு நடந்து செல்ல முடியுமா, அல்லது பஸ்ஸில் செல்ல வேண்டுமா?"
It takes us half an hour to walk to school.,நாங்கள் பள்ளிக்கு நடந்து செல்ல அரை மணி நேரம் ஆகும்.
It's a shortcut to the school.,இது பள்ளிக்கு ஒரு குறுக்குவழி.
Schools were started to help young people prepare for living in the world.,இளைஞர்கள் உலகில் வாழத் தயாராவதற்குப் பள்ளிகள் தொடங்கப்பட்டன.
School begins tomorrow.,பள்ளி நாளை தொடங்குகிறது.
School begins the day after tomorrow.,நாளை மறுநாள் பள்ளி தொடங்குகிறது.
"Schools are expected to meet the needs of every child, regardless of ability.",பள்ளிகள் திறமையைப் பொருட்படுத்தாமல் ஒவ்வொரு குழந்தையின் தேவைகளையும் பூர்த்தி செய்யும் என்று எதிர்பார்க்கப்படுகிறது.
